ID,Tweet,Label
3037,ussase jayada dukhad congress ka nichi koti ki politics jaise mauka mila ho mayavati aur akhilesh ka bayan km se km sahi to tha,NO
7640,takeout burrito shielded from cold as though it were week-old newborn,YES
11848,sight of coworkers' stupid fucking faces endured yet again,YES
4812,TIL that @RayuduAmbati is ek number ka chootiya. #AmbatiRayudu #Cricket,NO
13098,porch ceded to bats,YES
5154,@AtiyaNoreen bara hi ajeeeb #sarcasm hai,NO
1039,"Bss do log hindi belt ki politics se hat jaye Mayawati aur Nitish kumar..Abhi sb thk ho jaye,^ inhi do ki wajah se aaj bjp ki UP ar Bihar me",NO
7530,panicked donald trump jr. tries to cover up contact with wikileaks by deleting firefox icon from desktop,YES
7973,mike gravel can't believe his polling numbers neck-and-neck with fucking nobody like wayne messam,YES
13830,"""Bhai, tumhari wisdom se sab overlooked details become brilliant.""",YES
9119,clinton commissions john williams to compose 'clinton's theme',YES
1404,Pakistaniyoun Main Cricket Ka Ghair Maamooli Josh Wa Kharosh Paaya Jata Hai. Nojawan Apne Heros Ko Khelta Dekh Sakenge. Micky Aarthar,NO
7926,crowd shocked after unhinged trump dangles baby from truman balcony,YES
8135,frat nutritionists dare americans to swallow more live goldfish,YES
781,aa gayi khan aur roshan ki chamchi jab se in logo ki kali kartoote batayi hai Kangna ne baukhala gaye hai sare dogle Bollywood wale Bhadve,NO
8030,fda deems genetically modified salmon too handsome to eat,YES
1696,Sinhala adhyana anshaya wisin sanwidhanaya karanu labana cricket taragayata krida kirimata kemati apa adhayana anshaye siyalu sisun,NO
1216,Sir 5 sal aur UPA aa jati to socho kya hal hota iss desh ka appeasement k politics se..aur kya kya kiya hoga 10 sal vote bank k liye,NO
11023,tom izzo calls 2NOYES9 spartans best team he's ever threatened with violence,YES
2394,Triple Talaq hatao - desh ko hazaaron bhagodeon se bachao..,NO
2785,Army chalane ke liye umra ka limit hai desh chalane ke liye nahi... #irony,YES
9688,serial killer makes impassioned case for protecting local marsh,YES
3188,"#SexForNikah #TripleTalaq #LoveJihad Ye #Musalman nehi sudhrenge,Hardin ek naya chutiyapa kar hi dete he allha ke Naam pe. Shram ani chahiye",NO
2484,Jab ghodi langdi ho jaye to use goli maar kr laash pr politics karo. #RamRahimSentencing #Shaktimaan #MurdaKhorCongress,NO
373,Lagta hain tumhare ammi ka triple talaq ho chuka hain humhare mata ka fiqr karna bandh karo dusra ammi dhundo abbu se bolke,NO
5071,Ek aur sham..ek aur din ka ant hone wala hai..zindagi mein se ek aur din kam ho gaya..!! #sarcasm,NO
3607,Ab bjp wale bolenge modiji nhi chahte desh ki janta cricket dekhkr samay barbad kare isliye ye kiya he,NO
4049,triple talaq bhi muslimo pe chhod do ?? Saala tumne toh apne baap ki h side leni h waise  #HamidAnsari,NO
10636,advertising executive gets in touch with inner-child demographic,YES
10829,red cross issues reminder they can't accept donations from people with loose blood cupped in hands,YES
7326,apple unveils single colossal iphone all americans can use at once,YES
9652,woman only dates on national television now,YES
13991,"""Wah, tumhari baat se sab silent hopes get loud applause.""",YES
4168,Constitution me to jihad aur beef khana bhi nhi likha... triple talaq bji nhi likha...!!!,NO
5795,little caesars marketing new marshmallows 'n' gravy pizza directly to president,YES
3224,Triple talaq to bann karawaya,NO
6844,woman 7 golden retrievers short of childhood vision,YES
2082,Aapiya hai. Sab jagah politics karega. Aadat hai.,NO
5430,cozy little out-of-the-way place opens YES2th location,YES
2693,Waqar yunus ko bhi cricket sikhya hai isne... Pakistan gaya hoga sikhane,NO
5129,@SkyisNeela Kuttey! #sarcasm wala tag remove ker diya! Allah kerey aaj raat Balthazar ki baat pakki hogayi ho!,NO
13679,"""Arre, tumhari logic se sab uncertainties bhi vanish ho jati hain.""",YES
14,Bhai kuchh bhi karna iss @SimplySajidK ke saath movie mat karna..Bollywood se nafrat ho jaati hai..Itni sadi hui ghatiya filmein banata h ye,NO
8509,"bob iger: at disney, we live every day in terror that you'll turn on superhero movies",YES
174,Triple talaq ka karlo pehle kuch,NO
9878,huckabee campaign suspended after candidate trapped in briar patch,YES
147,"Bharat ek esa desh hi, jiske sainikon ko Marne ke liye yudh ki jarurat nahin padti  Yes hamare  desh ki gandhi politics ki vajah se hi",NO
11420,breaking: do you think we're doing a good job?,YES
1864,Qawwali ka gaana bana diya. Theek hai. Woh toh Nusrat bhi Bollywood gaye thay gaanay gaanay. Roots apni jagah. Pop apni jagah.,NO
5091,"@kamaalrkhan you are the man, baaki sab paani kam...#sarcasm",NO
1281,Faltu comments pe dyan mat do Raj kal cricket na ho To aap ke pass ye koi nahi ayega dene ki liye sab chu..... hai  ja jile apni jindhagi,NO
1422,"Yaad dilaata hai #December, Kisi ke kaleje ka sard ho jaana ... #Sarcasm",YES
13224,fans of victorious nobel laureates riot in stockholm,YES
8283,new titanic film told from iceberg's point of view,YES
4222,Naresh ji khairiyat? Aap cricket nahi dekhte 2 innings hoti Hai 2.5 saal apni inning khatam ab samne wale ki Bari Hai!!!,NO
10372,doctors: cancer patients who watched the onion's amazon pilot daily showed signs of remission,YES
10082,satan to revise bar code system,YES
9958,"supreme court leaves final decision on gay marriage in capable hands of texas, alabama, georgia",YES
4997,Jisko jitna dalali milegi woh utna hi gir jayega Bihar ki janta mar rahi hai MEDIA #tripletalaq debate kar rahi hai,NO
11700,"hotshot test pilot removes helmet, reveals female status",YES
382,bachpan me jo Ludo kheli thi uski yad abhi tak gayi nahi..kal ke temple run ke score bhul chuke hain hum..,YES
10567,sunday school teacher can already tell which ones going to hell,YES
7209,ünited stätes toughens image with umlauts,YES
9846,taylor swift mourns death of boyfriend christopher dorner,YES
8777,religious pamphlet sat on,YES
3712,Mahi mar raha hai... #INDvAUS #StarSports #cricket,NO
10912,nation unable to recall if trump said he'd personally fund abortion bombings or if that just sounds right,YES
4854,"Kamal karte ho Pandey ji, Self start k jamane me #Kick laye or LED k Jamane me #Tubelight  #Sarcasm",YES
13898,"""Kya baat hai, tumhara plan se sab scattered fragments piece together perfectly.""",YES
9691,nation's financial advisors recommend capturing magical creature that grants wishes,YES
7629,crowd cheers as 93-year-old fuckup finally graduates from college,YES
10631,mad lit professor puts finishing touches on bloomsday device,YES
3465,jo apni biwi ko bina triple talaq bole chod de usse bada neech kaun ho sakta hai ye bataye..,NO
9801,report: guy just put YESNO bucks in jukebox,YES
4890,SuNo baiYoN yE bOllYWooD kE khAAs loG hAi ye hUm AaM inSaNo ki bAaT kA jaWaB kYu deN gaY,NO
11006,this the fuck harness sex shop worker has at home,YES
11908,michael jackson deposed as king of pop in hitless coup,YES
6059,"doll-housing crisis set to worsen, mean older brother says",YES
10462,papa john's removes n-word from menus,YES
